"dispnum3","dispnum4","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
1785,-9,"JPN",740,2,8,1941,8,12,1941,1,1,2,-9,-9,-9,14,4,1,"4.01"
1785,-9,"THI",800,2,8,1941,8,12,1941,0,0,0,-9,-9,-9,16,4,1,"4.01"
1788,-9,"GMY",255,-9,9,1943,-9,9,1943,1,0,0,-9,0,0,1,2,1,"4.01"
1788,-9,"SWZ",225,-9,9,1943,-9,9,1943,0,0,0,-9,0,0,10,3,1,"4.01"
1789,-9,"COL",100,17,11,1943,17,1,1944,0,0,0,-9,0,0,18,4,1,"4.01"
1789,-9,"GMY",255,17,11,1943,17,1,1944,1,1,2,-9,0,0,16,4,1,"4.01"
1792,-9,"FRN",220,-9,4,1946,17,11,1946,1,0,0,-9,1,-9,17,4,1,"4.01"
1792,-9,"THI",800,-9,4,1946,17,11,1946,0,0,0,-9,3,-9,17,4,1,"4.01"
1793,-9,"IRQ",645,14,5,1948,18,11,1948,1,1,1,-9,5,-9,20,5,1,"4.01"
1793,-9,"LEB",660,14,5,1948,18,11,1948,1,1,1,-9,5,-9,20,5,1,"4.01"
1793,-9,"EGY",651,14,5,1948,18,11,1948,1,1,1,-9,6,-9,20,5,1,"4.01"
1793,-9,"ISR",666,14,5,1948,18,11,1948,0,0,0,-9,6,-9,20,5,1,"4.01"
1793,-9,"JOR",663,14,5,1948,18,11,1948,1,1,1,-9,6,-9,20,5,1,"4.01"
1793,-9,"SYR",652,14,5,1948,18,11,1948,1,1,1,-9,6,-9,20,5,1,"4.01"
1796,-9,"TUN",616,9,2,1959,15,8,1959,0,0,0,-9,0,0,0,1,1,"4.01"
1796,-9,"FRN",220,9,2,1959,15,8,1959,1,1,2,-9,0,0,16,4,1,"4.01"
1797,-9,"CHN",710,-9,6,1960,31,7,1960,1,1,2,-9,0,0,17,4,1,"4.01"
1797,-9,"NEP",790,-9,6,1960,31,7,1960,0,0,0,-9,1,1,17,4,1,"4.01"
1799,-9,"JPN",740,-9,1,1961,30,9,1961,0,0,0,-9,0,0,0,1,1,"4.01"
1799,-9,"USR",365,-9,1,1961,30,9,1961,1,0,0,-9,0,0,15,4,1,"4.01"
1800,-9,"FRN",220,-9,6,1865,-9,9,1865,0,0,0,-9,0,0,0,1,1,"4.01"
1800,-9,"USA",2,-9,6,1865,-9,9,1865,1,1,2,-9,0,0,7,3,1,"4.01"
1801,-9,"DOM",42,2,6,1961,8,12,1961,0,0,0,-9,0,0,0,1,1,"4.01"
1801,-9,"USA",2,2,6,1961,8,12,1961,1,1,2,-9,0,0,7,3,1,"4.01"
1803,-9,"USA",2,26,5,1963,10,6,1963,0,0,0,-9,0,0,0,1,1,"4.01"
1803,-9,"ECU",130,26,5,1963,10,6,1963,1,1,2,-9,0,0,15,4,1,"4.01"
1804,-9,"ZAM",551,11,11,1965,24,8,1966,0,0,0,-9,0,0,0,1,1,"4.01"
1804,-9,"ZIM",552,11,11,1965,24,8,1966,1,0,0,-9,0,0,7,3,1,"4.01"
1804,-9,"UKG",200,3,12,1965,24,8,1966,0,1,2,-9,0,0,7,3,0,"4.01"
1805,-9,"USA",2,7,1,1967,18,2,1967,0,0,0,-9,0,0,0,1,1,"4.01"
1805,-9,"ECU",130,7,1,1967,18,2,1967,1,1,2,-9,0,0,15,4,1,"4.01"
1806,-9,"CAM",811,17,1,1968,2,7,1969,0,0,0,-9,-9,-9,17,4,1,"4.01"
1806,-9,"RVN",817,17,1,1968,18,1,1968,1,0,0,-9,-9,-9,17,4,1,"4.01"
1806,-9,"USA",2,17,1,1968,2,7,1969,1,1,2,-9,1,-9,17,4,1,"4.01"
